interior_point_count,grid_spacing_m,quantum_number_n,normalization,expected_x_m_numeric,expected_x_squared_m2_numeric,p_mean_real_kg_m_s_numeric,p_mean_imaginary_kg_m_s_numeric,p_squared_kg2_m2_s2_numeric,delta_x_m_numeric,delta_p_kg_m_s_numeric,delta_x_delta_p_j_s_numeric,uncertainty_product_over_hbar_numeric,heisenberg_ratio_numeric,delta_x_m_analytical,delta_p_kg_m_s_analytical,delta_x_delta_p_j_s_analytical,uncertainty_product_over_hbar_analytical,relative_delta_x_error,relative_p_squared_error,relative_delta_p_error,relative_uncertainty_error,relative_energy_error,eigenvector_overlap
200,4.9751243781094527e-12,1,0.99999999999999989,5.0000000000000717e-10,2.8267274131060908e-19,0,0,1.0975977960980899e-49,1.8075602703810993e-10,3.3130013523964791e-25,5.9884496203107271e-35,0.56785602650345512,1.1357120530069102,1.80756027595664e-10,3.3130350749999996e-25,5.9885105944210277e-35,0.56786180838661193,3.0845669064124547e-09,2.035742521893859e-05,1.0178764413016802e-05,1.0181848948840593e-05,2.0357425287041798e-05,1.0000000000000002
200,4.9751243781094527e-12,2,1,4.9999999999998773e-10,3.2066818457168253e-19,0,3.139744896402037e-41,4.3901230564868855e-49,2.6583488215750544e-10,6.6258003716433269e-25,1.7613688609949596e-34,1.6702218203843151,3.3404436407686302,2.6583488367413546e-10,6.6260701499999992e-25,1.7614405875419113e-34,1.6702898352371223,5.7051580175879472e-09,8.1427711628360302e-05,4.0714684656987114e-05,4.0720389582869995e-05,8.1427711792455955e-05,1.0000000000000002
200,4.9751243781094527e-12,3,0.99999999999999933,5.0000000000000541e-10,3.2770437687191038e-19,0,-3.139744896402037e-41,9.8767714629498129e-49,2.7875504815501542e-10,9.9381947369478601e-25,2.7703219524718217e-34,2.6269637649290529,5.2539275298581058,2.7875505140990144e-10,9.9391052249999988e-25,2.7705757879632952e-34,2.6272044649811743,1.1676509551905261e-08,0.0001832048918191869,9.1606641797951647e-05,9.161831723787272e-05,0.00018320489180596709,0.99999999999999956
200,4.9751243781094527e-12,4,0.99999999999999967,4.999999999999992e-10,3.301670431176223e-19,0,4.1699736905339552e-42,1.7556202703443012e-48,2.8313785179241421e-10,1.3249982152230625e-24,3.7515714828704082e-34,3.5574357479456027,7.1148714958912054,2.8313785749085251e-10,1.3252140299999998e-24,3.7521826117101832e-34,3.5580152521856636,2.0126020400403493e-08,0.0003256790209504393,0.00016285277098774219,0.00016287289373055348,0.00032567902097248151,0.99999999999999922
200,4.9751243781094527e-12,5,1,4.9999999999999672e-10,3.313069046167119e-19,0,1.5698724482010185e-41,2.742654079951499e-48,2.851436561046294e-10,1.6560960358480116e-24,4.7222527852208542e-34,4.4778863859277962,8.9557727718555924,2.8514366494889306e-10,1.6565175374999998e-24,4.7234548169486544e-34,4.4790262151055593,3.1016868834046685e-08,0.00050883617806918454,0.00025445046155340463,0.00025448147053014195,0.00050883617804781426,0.99999999999999989
200,4.9751243781094527e-12,6,1.0000000000000002,5.0000000000000448e-10,3.3192608740550563e-19,0,-3.139744896402037e-41,3.9485374564582017e-48,2.8622733518219591e-10,1.9870927146105189e-24,5.6876025246292459e-34,5.3932813578540211,10.786562715708042,2.8622734787513615e-10,1.9878210449999998e-24,5.6896874576073163e-34,5.3952584000461066,4.4345658575194295e-08,0.00073265846793559909,0.00036639635711315844,0.00036644068652367108,0.00073265846793216065,1.0000000000000004
200,4.9751243781094527e-12,7,0.99999999999999967,4.9999999999999848e-10,3.322994338093206e-19,0,0,5.3729758192947695e-48,2.8687877894560646e-10,2.3179680367284554e-24,6.6497584001160397e-34,6.3056477414298326,12.611295482859665,2.8687879619157963e-10,2.3191245524999997e-24,6.6530765983953582e-34,6.3087942301030502,6.0115886567018113e-08,0.00099712402335636139,0.0004986863557188485,0.00049874644162647606,0.00099712402336891493,0.99999999999999956
200,4.9751243781094527e-12,8,0.99999999999999967,5.0000000000000189e-10,3.3254174865450634e-19,0,-5.8870216807538197e-42,7.0156211979422212e-48,2.8730079821417907e-10,2.6487017948312381e-24,7.6097413988634344e-34,7.2159536899522507,14.431907379904501,2.8730082071955099e-10,2.6504280599999997e-24,7.6147015689612733e-34,7.2206571819428769,7.833382396249509e-08,0.0013022070080529586,0.00065131561003833221,0.00065139389284239117,0.0013022070080447319,0.99999999999999933
200,4.9751243781094527e-12,9,0.99999999999999933,5.0000000000000013e-10,3.3270787755073241e-19,0,1.5698724482010185e-41,8.8760723169366257e-48,2.8758977302875758e-10,2.9792737901939501e-24,8.5680867311240446e-34,8.1247067176973609,16.249413435394722,2.8758980150230245e-10,2.9817315675e-24,8.5751558963047408e-34,8.1314100688228219,9.9007491627439764e-08,0.001647877620036818,0.00082427852756398914,0.00082437745344596713,0.0016478776200365957,0.99999999999999933
200,4.9751243781094527e-12,10,1.0000000000000002,4.9999999999999962e-10,3.3282670718116544e-19,0,-3.139744896402037e-41,1.0953874693895094e-47,2.8779629459248742e-10,3.3096638339709206e-24,9.5250898776359649e-34,9.0321870149121946,18.064374029824389,2.8779632974574512e-10,3.3130350749999996e-24,9.5347933490391938e-34,9.0413883525933851,1.2214630300991637e-07,0.0020341020955135314,0.0010175687708585614,0.0010176907928693623,0.0020341020955249854,0.99999999999999989
400,2.4937655860349129e-12,1,0.99999999999999933,4.9999999999998804e-10,2.8267274149942797e-19,0,0,1.0976145267078356e-49,1.8075602756046599e-10,3.3130266022291997e-25,5.988495278210982e-35,0.56786035602369178,1.1357207120473836,1.80756027595664e-10,3.3130350749999996e-25,5.9885105944210277e-35,0.56786180838661193,1.9472660993818927e-10,5.1148024539194848e-06,2.5574044971303503e-06,2.5575992234407757e-06,5.1147971060327099e-06,1
