label,n,l,m,sample_index,radius_over_a,radius_over_n_squared_a,scaled_radial_wavefunction,scaled_radial_probability,cumulative_probability,containment_target,extent_over_a
1s (m=+0),1,0,0,821,4.1225829114395305,4.1225829114395305,0.032405220880454978,0.017847145716205836,0.98864928696926668,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,822,4.127604327896826,4.127604327896826,0.032242908630777813,0.017711875200133984,0.98873856529568405,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,823,4.1326257443541214,4.1326257443541214,0.032081409375602138,0.017577577923244086,0.98882716681602534,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,824,4.1376471608114169,4.1376471608114169,0.031920719042776519,0.01744424742353352,0.98891509640110575,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,825,4.1426685772687124,4.1426685772687124,0.031760833580546245,0.017311877276146873,0.98900235888938515,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,826,4.1476899937260079,4.1476899937260079,0.031601748957451152,0.017180461093227017,0.98908895908715444,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,827,4.1527114101833034,4.1527114101833034,0.031443461162223983,0.017049992523765958,0.98917490176872092,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,828,4.1577328266405988,4.1577328266405988,0.031285966203689217,0.016920465253455454,0.98926019167659307,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,829,4.1627542430978943,4.1627542430978943,0.031129260110662485,0.016791873004537522,0.98934483352166436,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,830,4.1677756595551898,4.1677756595551898,0.030973338931850381,0.016664209535654669,0.98942883198339637,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,831,4.1727970760124844,4.1727970760124844,0.030818198735750896,0.016537468641700071,0.98951219171000115,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,832,4.1778184924697799,4.1778184924697799,0.030663835610554156,0.016411644153667439,0.98959491731862315,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,833,4.1828399089270754,4.1828399089270754,0.030510245664043974,0.016286729938501023,0.98967701339551972,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,834,4.1878613253843708,4.1878613253843708,0.030357425023499578,0.016162719898945202,0.98975848449624171,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,835,4.1928827418416663,4.1928827418416663,0.030205369835597993,0.016039607973394165,0.98983933514581235,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,836,4.1979041582989618,4.1979041582989618,0.030054076266316888,0.015917388135741378,0.98991956983890639,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,837,4.2029255747562573,4.2029255747562573,0.029903540500837902,0.015796054395229058,0.98999919304002759,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,838,4.2079469912135528,4.2079469912135528,0.029753758743450449,0.015675600796297508,0.99007820918368616,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,839,4.2129684076708482,4.2129684076708482,0.029604727217456012,0.015556021418434417,0.99015662267457472,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,840,4.2179898241281437,4.2179898241281437,0.02945644216507292,0.015437310376024112,0.99023443788774423,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,841,4.2230112405854392,4.2230112405854392,0.029308899847341585,0.015319461818196782,0.99031165916877895,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,842,4.2280326570427347,4.2280326570427347,0.029162096544030236,0.01520246992867764,0.99038829083397006,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,843,4.2330540735000293,4.2330540735000293,0.029016028553541143,0.015086328925636149,0.99046433717048943,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,844,4.2380754899573247,4.2380754899573247,0.028870692192817165,0.014971033061535074,0.99053980243656203,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,845,4.2430969064146202,4.2430969064146202,0.028726083797249048,0.014856576622979801,0.99061469086163789,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,846,4.2481183228719157,4.2481183228719157,0.028582199720582922,0.014742953930567449,0.99068900664656279,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,847,4.2531397393292112,4.2531397393292112,0.028439036334828378,0.014630159338736098,0.99076275396374902,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,848,4.2581611557865067,4.2581611557865067,0.028296590030167001,0.014518187235614067,0.99083593695734473,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,849,4.2631825722438021,4.2631825722438021,0.028154857214861335,0.014407032042869198,0.99090855974340264,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,850,4.2682039887010976,4.2682039887010976,0.02801383431516434,0.014296688215558245,0.99098062641004825,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,851,4.2732254051583931,4.2732254051583931,0.027873517775229256,0.014187150241976291,0.99105214101764705,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,852,4.2782468216156886,4.2782468216156886,0.027733904057019958,0.014078412643506268,0.99112310759897104,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,853,4.2832682380729841,4.2832682380729841,0.027594989640221754,0.013970469974468569,0.9911935301593644,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,854,4.2882896545302795,4.2882896545302795,0.027456771022152594,0.013863316821970704,0.99126341267690865,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,855,4.293311070987575,4.293311070987575,0.02731924471767478,0.013756947805757149,0.99133275910258689,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,856,4.2983324874448696,4.2983324874448696,0.027182407259107096,0.013651357578059246,0.99140157336044732,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,857,4.3033539039021651,4.3033539039021651,0.027046255196137278,0.013546540823445179,0.99146985934776588,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,858,4.3083753203594606,4.3083753203594606,0.026910785095735173,0.013442492258670278,0.99153762093520836,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,859,4.3133967368167561,4.3133967368167561,0.026775993542066057,0.013339206632527214,0.99160486196699171,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,860,4.3184181532740515,4.3184181532740515,0.026641877136404549,0.013236678725696512,0.99167158626104424,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,861,4.323439569731347,4.323439569731347,0.0265084324970489,0.013134903350597155,0.99173779760916569,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,862,4.3284609861886425,4.3284609861886425,0.026375656259235745,0.013033875351237387,0.99180349977718607,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,863,4.333482402645938,4.333482402645938,0.026243545075055229,0.01293358960306564,0.99186869650512399,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,864,4.3385038191032335,4.3385038191032335,0.026112095613366623,0.012834041012821694,0.99193339150734405,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,865,4.3435252355605289,4.3435252355605289,0.025981304559714306,0.012735224518388003,0.99199758847271369,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,866,4.3485466520178244,4.3485466520178244,0.025851168616244216,0.01263713508864122,0.99206129106475927,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,867,4.3535680684751199,4.3535680684751199,0.025721684501620667,0.012539767723303917,0.99212450292182108,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,868,4.3585894849324145,4.3585894849324145,0.025592848950943659,0.012443117452796547,0.99218722765720802,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,869,4.36361090138971,4.36361090138971,0.025464658715666451,0.012347179338089535,0.9922494688593515,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,870,4.3686323178470055,4.3686323178470055,0.025337110563513787,0.012251948470555761,0.99231123009195821,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,871,4.3736537343043009,4.3736537343043009,0.025210201278400308,0.012157419971823112,0.99237251489416256,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,872,4.3786751507615964,4.3786751507615964,0.025083927660349482,0.012063588993627347,0.9924333267806783,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,873,4.3836965672188919,4.3836965672188919,0.024958286525412914,0.011970450717665202,0.99249366924194904,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,874,4.3887179836761874,4.3887179836761874,0.024833274705590068,0.011878000355447746,0.99255354574429877,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,875,4.3937394001334829,4.3937394001334829,0.024708889048748385,0.011786233148153984,0.9926129597300809,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,876,4.3987608165907783,4.3987608165907783,0.024585126418543796,0.011695144366484738,0.99267191461782689,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,877,4.4037822330480738,4.4037822330480738,0.024461983694341657,0.011604729310516801,0.99273041380239424,0.99950000000000006,6.0256997487544908
