configuration_id,factor_name,factor_value,seed,final_displacement_x_nm,final_displacement_y_nm,final_displacement_nm,total_contacts,total_impulses,total_direction_resets,total_small_wall_impacts,total_large_wall_impacts,maximum_collision_passes,maximum_displacement_nm,maximum_residual_penetration_nm,maximum_normalized_momentum_error,maximum_normalized_restitution_error,maximum_normalized_energy_identity_error
baseline,baseline,1.0,3044,2.6101487611916596,0.5721786673545992,2.672127426401301,4462,3805,47219,14471,0,10,0.006060557799034639,0.0,3.904837583372068e-16,9.67713376702925e-16,1.9459975618532604e-15
baseline,baseline,1.0,3045,1.2965998656250584,-1.3063997837539736,1.8406117479064803,4574,3851,47207,14473,0,10,0.00593848634157745,0.0,4.0004339167002945e-16,1.01750233445897e-15,2.042390865861201e-15
baseline,baseline,1.0,3046,0.8738000439808626,-0.3190224265597035,0.9302160101336673,4611,3846,47202,14448,0,10,0.005933397189683141,0.0,3.588372019838183e-16,1.0831218611498267e-15,2.1140155855980556e-15
baseline,baseline,1.0,3047,-0.7535440945475615,-1.0264680002284985,1.273367683711424,4375,3679,47240,14484,0,10,0.006045844689850459,0.0,3.889383738761794e-16,1.0099049542132171e-15,1.7225638927025184e-15
baseline,baseline,1.0,3048,-0.06367857142287914,-0.7752426347618435,0.7778535229790656,4514,3858,47223,14555,0,10,0.006432232749283776,0.0,3.8803306651201705e-16,1.0629820924073195e-15,1.8424235170119162e-15
baseline,baseline,1.0,3049,0.1682367249100558,1.229090337123198,1.2405509471271539,4487,3777,47210,14489,0,10,0.006572782823605038,0.0,3.5216225070178257e-16,1.0740973279949687e-15,1.865630473849804e-15
baseline,baseline,1.0,3050,-0.1007842558054719,0.5834460156594261,0.5920867498999806,4612,3872,47216,14082,0,10,0.00613473213363125,0.0,3.9937976187537613e-16,1.1204204802319015e-15,2.1883150222254245e-15
baseline,baseline,1.0,3051,-1.20061188859078,0.0683325151299865,1.202554880098829,4370,3697,47215,14497,0,10,0.006023714762454586,0.0,3.829770052371803e-16,9.368058429179074e-16,1.4903934385191628e-15
baseline,baseline,1.0,3052,0.2739427243078527,0.31775212745465353,0.4195366857655795,4632,3861,47213,14283,0,10,0.00633923896648357,0.0,3.9165340407411005e-16,9.838661064571561e-16,1.899436607929348e-15
baseline,baseline,1.0,3053,-0.9877496830773769,1.594793283357074,1.8759037963233336,4593,3854,47199,14408,0,10,0.006060110861071761,0.0,3.6947207950989934e-16,9.859867559795105e-16,1.6907016738080875e-15
baseline,baseline,1.0,3054,0.32110995523935415,-0.7986740468037876,0.8608088268551611,4423,3788,47232,14525,0,10,0.005835816889829672,0.0,3.918289558569423e-16,1.038352952428678e-15,1.78065375205305e-15
baseline,baseline,1.0,3055,1.1190857780771744,0.7823989986497182,1.3654673821745713,4781,3928,47215,14342,0,10,0.006268299291718478,0.0,4.00400928262135e-16,9.60498108160686e-16,1.792939448996782e-15
baseline,baseline,1.0,3056,0.6275288025123373,-1.0920468603112266,1.2595073414228977,4470,3785,47236,14538,0,10,0.006350476630385697,0.0,3.6906414471955854e-16,1.0688288059204757e-15,1.7225387235906178e-15
baseline,baseline,1.0,3057,-1.4572582075120089,1.6275783958169683,2.184631071346201,4610,3796,47191,14576,0,10,0.0062730219379146576,0.0,4.0947236769530465e-16,1.0987128151061932e-15,2.0063348363284176e-15
baseline,baseline,1.0,3058,-1.1828582727753254,1.0231530879929185,1.5639680095649242,4349,3718,47227,14572,0,10,0.006068486734292091,0.0,3.0713510100879606e-16,1.0089971436617653e-15,2.080796486841677e-15
