energy_index,angle_index,incident_energy_kev,theta_deg,scattered_to_incident_energy_ratio,differential_cross_section_m2_sr,differential_cross_section_barn_sr,relative_differential_cross_section,theta_density_m2_rad,theta_pdf_rad_inv,total_cross_section_m2,total_cross_section_barn
3,98,500,24.5,0.91903258700892854,6.1541773240007676e-30,0.061541773240007674,0.77500842426866123,1.6035290521248877e-29,0.55453521263273053,2.8916631723203253e-29,0.28916631723203257
3,99,500,24.75,0.91753248973834367,6.1239867147278912e-30,0.061239867147278915,0.77120645768751761,1.6109249394725431e-29,0.55709287129036766,2.8916631723203253e-29,0.28916631723203257
3,100,500,25,0.91602308583849112,6.0937141502058027e-30,0.060937141502058027,0.76739417031039947,1.6181180626087778e-29,0.55958040967488243,2.8916631723203253e-29,0.28916631723203257
3,101,500,25.25,0.91450451981481928,6.0633643854033242e-30,0.060633643854033241,0.76357216094047731,1.6251092521527758e-29,0.56199811503244945,2.8916631723203253e-29,0.28916631723203257
3,102,500,25.5,0.91297693614685116,6.0329421428862888e-30,0.060329421428862891,0.75974102430034562,1.6318993858804142e-29,0.5643462909170528,2.8916631723203253e-29,0.28916631723203257
3,103,500,25.75,0.91144047926055904,6.0024521117055298e-30,0.0600245211170553,0.75590135089198496,1.6384893878048766e-29,0.56662525687254284,2.8916631723203253e-29,0.28916631723203257
3,104,500,26,0.90989529350107723,5.9718989463157625e-30,0.059718989463157623,0.752053726860614,1.644880227247077e-29,0.56883534811116809,2.8916631723203253e-29,0.28916631723203257
3,105,500,26.25,0.90834152310576222,5.9412872655255291e-30,0.059412872655255293,0.74819873386245461,1.6510729178966556e-29,0.5709769151888473,2.8916631723203253e-29,0.28916631723203257
3,106,500,26.5,0.90677931217760321,5.9106216514782462e-30,0.059106216514782463,0.74433694893641267,1.657068516864293e-29,0.57305032367743913,2.8916631723203253e-29,0.28916631723203257
3,107,500,26.75,0.90520880465898945,5.8799066486644428e-30,0.05879906648664443,0.74046894437968691,1.6628681237260823e-29,0.57505595383426533,2.8916631723203253e-29,0.28916631723203257
3,108,500,27,0.90363014430584243,5.8491467629652794e-30,0.058491467629652794,0.73659528762731774,1.6684728795607126e-29,0.57699420026914761,2.8916631723203253e-29,0.28916631723203257
3,109,500,27.25,0.90204347466211365,5.8183464607272806e-30,0.058183464607272806,0.73271654113566609,1.6738839659801628e-29,0.57886547160920077,2.8916631723203253e-29,0.28916631723203257
3,110,500,27.5,0.90044893903465872,5.7875101678683871e-30,0.057875101678683871,0.7288332622698368,1.6791026041546628e-29,0.5806701901616429,2.8916631723203253e-29,0.28916631723203257
3,111,500,27.75,0.8988466804684857,5.7566422690151938e-30,0.057566422690151942,0.72494600319502911,1.6841300538325933e-29,0.58240879157485537,2.8916631723203253e-29,0.28916631723203257
3,112,500,28,0.89723684172238893,5.7257471066714251e-30,0.057257471066714249,0.72105531077182106,1.6889676123560576e-29,0.58408172449794626,2.8916631723203253e-29,0.28916631723203257
3,113,500,28.25,0.89561956524496722,5.6948289804175113e-30,0.056948289804175115,0.71716172645537046,1.6936166136727924e-29,0.58568945023904784,2.8916631723203253e-29,0.28916631723203257
3,114,500,28.5,0.89399499315103281,5.6638921461412014e-30,0.056638921461412015,0.71326578619852443,1.6980784273451145e-29,0.58723244242258832,2.8916631723203253e-29,0.28916631723203257
3,115,500,28.75,0.8923632671984153,5.6329408152990979e-30,0.056329408152990978,0.70936802035882274,1.7023544575565588e-29,0.58871118664576594,2.8916631723203253e-29,0.28916631723203257
3,116,500,29,0.89072452876516062,5.6019791542089917e-30,0.056019791542089921,0.70546895360938044,1.7064461421168762e-29,0.59012618013445584,2.8916631723203253e-29,0.28916631723203257
3,117,500,29.25,0.88907891882713275,5.57101128337283e-30,0.055710112833728301,0.70156910485362722,1.7103549514660313e-29,0.59147793139877014,2.8916631723203253e-29,0.28916631723203257
3,118,500,29.5,0.8874265779360162,5.5400412768301356e-30,0.055400412768301356,0.69766898714388259,1.7140823876778312e-29,0.59276695988849182,2.8916631723203253e-29,0.28916631723203257
3,119,500,29.75,0.88576764619772597,5.5090731615417441e-30,0.055090731615417443,0.69376910760374877,1.7176299834638173e-29,0.59399379564859844,2.8916631723203253e-29,0.28916631723203257
3,120,500,30,0.88410226325122443,5.4781109168035715e-30,0.054781109168035719,0.68986996735428452,1.7209993011780144e-29,0.59515897897508308,2.8916631723203253e-29,0.28916631723203257
3,121,500,30.25,0.88243056824774824,5.4471584736902581e-30,0.054471584736902584,0.68597206144394263,1.7241919318231468e-29,0.5962630600712816,2.8916631723203253e-29,0.28916631723203257
3,122,500,30.5,0.88075269983044735,5.4162197145284031e-30,0.05416219714528403,0.68207587878223319,1.7272094940588887e-29,0.59730659870490488,2.8916631723203253e-29,0.28916631723203257
3,123,500,30.75,0.87906879611443678,5.3852984723991499e-30,0.053852984723991498,0.67818190207708307,1.7300536332127348e-29,0.59829016386597578,2.8916631723203253e-29,0.28916631723203257
3,124,500,31,0.87737899466726366,5.3543985306698499e-30,0.053543985306698502,0.67429060777585714,1.7327260202940274e-29,0.59921433342585861,2.8916631723203253e-29,0.28916631723203257
3,125,500,31.25,0.87568343248978908,5.3235236225545039e-30,0.053235236225545039,0.67040246601000397,1.7352283510116981e-29,0.60007969379757253,2.8916631723203253e-29,0.28916631723203257
3,126,500,31.5,0.87398224599748719,5.2926774307026983e-30,0.052926774307026983,0.66651794054328961,1.7375623447962384e-29,0.60088683959756817,2.8916631723203253e-29,0.28916631723203257
